attribute_code	value_code	label_ru	description_ru	is_head	priority	aliases_seeded
mount_type	L_MOUNT	L Mount	Head value for mount_type: L_MOUNT	true	179	true
mount_type	GOPRO_MOUNT	Gopro Mount	Head value for mount_type: GOPRO_MOUNT	true	180	true
mount_type	DJI_MOUNT	Dji Mount	Head value for mount_type: DJI_MOUNT	true	181	true
mount_type	TRIPOD_1_4	Tripod 1 4	Head value for mount_type: TRIPOD_1_4	true	182	true
mount_type	TRIPOD_3_8	Tripod 3 8	Head value for mount_type: TRIPOD_3_8	true	183	true
lens_mount	CANON_EF	Canon Ef	Head value for lens_mount: CANON_EF	true	184	true
lens_mount	CANON_RF	Canon Rf	Head value for lens_mount: CANON_RF	true	185	true
lens_mount	NIKON_F	Nikon F	Head value for lens_mount: NIKON_F	true	186	true
lens_mount	NIKON_Z	Nikon Z	Head value for lens_mount: NIKON_Z	true	187	true
lens_mount	SONY_E	Sony E	Head value for lens_mount: SONY_E	true	188	true
lens_mount	FUJIFILM_X	Fujifilm X	Head value for lens_mount: FUJIFILM_X	true	189	true
lens_mount	MICRO_FOUR_THIRDS	Micro Four Thirds	Head value for lens_mount: MICRO_FOUR_THIRDS	true	190	true
lens_mount	L_MOUNT	L Mount	Head value for lens_mount: L_MOUNT	true	191	true
lens_mount	PENTAX_K	Pentax K	Head value for lens_mount: PENTAX_K	true	192	true
lens_mount	LEICA_M	Leica M	Head value for lens_mount: LEICA_M	true	193	true
memory_form_factor	SD	Sd	Head value for memory_form_factor: SD	true	194	true
memory_form_factor	MICROSD	Microsd	Head value for memory_form_factor: MICROSD	true	195	true
memory_form_factor	CFEXPRESS_A	Cfexpress A	Head value for memory_form_factor: CFEXPRESS_A	true	196	true
memory_form_factor	CFEXPRESS_B	Cfexpress B	Head value for memory_form_factor: CFEXPRESS_B	true	197	true
memory_form_factor	CF_CARD	Cf Card	Head value for memory_form_factor: CF_CARD	true	198	true
memory_form_factor	DIMM	Dimm	Head value for memory_form_factor: DIMM	true	199	true
memory_form_factor	SODIMM	Sodimm	Head value for memory_form_factor: SODIMM	true	200	true
memory_form_factor	M2	M2	Head value for memory_form_factor: M2	true	201	true
